X1,Datetime,TweetId,Text,FoundWord,start_text,end_text,country_predicted,country_conf,admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code
0,2021-02-19 23:59:57+00:00,1362914854999326720,"@ErinBrockovich We haven't had running water in Lake Charles, Louisiana for 4 days now",Lake Charles,48,60,USA,0.9634982943534851,Louisiana,30.21309,-93.2044,USA,4330236,Lake Charles,P,PPLA2
1,2021-02-19 23:59:57+00:00,1362914854999326720,"@ErinBrockovich We haven't had running water in Lake Charles, Louisiana for 4 days now",Louisiana,62,71,USA,0.9634982943534851,Louisiana,31.00047,-92.0004,USA,4331987,Louisiana,A,ADM1
2,2021-02-19 23:59:57+00:00,1362914854005276686,"NHS College Storm still battling in Bemidji, trailing the host @WolfpackMBB 71-59. https://t.co/3haAZlO9qn #NIACmbb",Bemidji,36,43,USA,0.9637409448623657,Minnesota,47.47356,-94.88028,USA,5017822,Bemidji,P,PPLA2
3,2021-02-19 23:59:54+00:00,1362914842093391875,I hope one of the last two challenges that have yet be revealed for #ZWC3 are a No Power challenge or Exfil Speedrun on Firebase Z. Those would be fun to watch and compete in 👀,Exfil Speedrun,102,116,CUW,0.24821266531944275,,,,,,,,
4,2021-02-19 23:59:53+00:00,1362914837727244288,"@atliberalandold Once after an ice storm in Kansas, when the sun came out the ice started dropping from the trees. It looked like it was raining diamonds!",Kansas,44,50,USA,0.9634982943534851,Kansas,38.50029,-98.50063,USA,4273857,Kansas,A,ADM1
5,2021-02-19 23:59:51+00:00,1362914829330247690,"Weather Conditions From Calabash, NC @ 7:00 PM  41.5°F,  Humidity is 100 pct,  Wind 1.7 mph NNW,  Rain 0.57 in. High Temp 41.6°F #sunsetbeachwx #ncwx",NC,34,36,IND,0.9048774242401123,Assam,27.29429,94.20387,IND,9035240,Salikipara NC,P,PPL
6,2021-02-19 23:59:48+00:00,1362914817800097794,water fountain https://t.co/YnUZrsv1Rt,https://t.co/YnUZrsv1Rt,15,38,,0.0,,,,,,,,
7,2021-02-19 23:59:47+00:00,1362914813693681664,"The Government, with its Regulations, is attempting to ""Level the Playing Field"" for We the People against the greedy and powerful. Are ALL the Regulations good and necessary? Oh, hell no! 

Texas has NO Regulations regarding its power grid.

YOU choose which YOU want https://t.co/ziyg6R4hfN",Texas,191,196,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
8,2021-02-19 23:59:46+00:00,1362914809210171400,"@Scynix @nebhusker84 @Angry_Staffer @Sen_JoeManchin @SpeakerPelosi Lol not voting for someone who literally said that we should bomb Libya, steal their oil, and then make them fund us stealing their oil, is a “fascist power move.” 

Sure, yea, ok",Libya,133,138,LBY,0.9516947865486145,NA,28,17,LBY,2215636,Libya,A,PCLI
9,2021-02-19 23:59:46+00:00,1362914808983474179,@JbkNkotb @julielushjordan @LeilaJan3 @NicoleWC78 @jordanknight We have power and water very limited. Still have to boil everything. How are you doing in Georgia?,Georgia,154,161,GEO,0.9516947865486145,NA,41.99998,43.4999,GEO,614540,Georgia,A,PCLI
10,2021-02-19 23:59:46+00:00,1362914808383889410,"@mentaljedi @Echecs_Gaulois @GothamChess yes, i don’t think anybody could’ve predicted the weather conditions Texas is going through right now. Hard situation overall",Texas,110,115,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
11,2021-02-19 23:59:46+00:00,1362914807993745415,"@storm_ofmylife vou me matar 
pse..",matar,23,28,YEM,0.28365933895111084,,,,,,,,
12,2021-02-19 23:59:46+00:00,1362914807192694786,"After 2: @Shoremenhockey 0, @amherst_hockey 0. Avon Lake has 18 shots. Amherst has 12 shots and the game’s only power play opportunity. #LoCoPucks.",Avon Lake,47,56,USA,0.9571880102157593,Ohio,41.50532,-82.0282,USA,5146286,Avon Lake,P,PPL
13,2021-02-19 23:59:46+00:00,1362914807192694786,"After 2: @Shoremenhockey 0, @amherst_hockey 0. Avon Lake has 18 shots. Amherst has 12 shots and the game’s only power play opportunity. #LoCoPucks.",Amherst,71,78,USA,0.9571880102157593,New York,42.97839,-78.79976,USA,5107129,Amherst,P,PPL
14,2021-02-19 23:59:44+00:00,1362914801014476801,"Aucune news pour la cérémonie d'ouverture aucune news prévues dans tout le weekend
Sale année pour heroes of the storm
On dirait blizzard veulent tuer le jeu pour qu'il y ait vrm plus personne dessus :) https://t.co/s1TxvRSzZN",année pour,88,98,REU,0.24821266531944275,,,,,,,,
15,2021-02-19 23:59:44+00:00,1362914798753693700,@hellnines blizzard really taking 1039492 years with OW2 just to make almost every character as heinous as possible LMAO,OW2,53,56,NGA,0.5339667797088623,,,,,,,,
16,2021-02-19 23:59:44+00:00,1362914798200061957,"Did you ever think we would see in the U.S. One of Trumps S#!t Hole Countries? Texas the Lone Star State is now one of many failing under supposed Republican leadership to handle an ice storm? 

#TexasStrong 

#VoteBlue2022 https://t.co/W2YGJ2yKsW",Texas,79,84,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
17,2021-02-19 23:59:43+00:00,1362914796232994818,One of the best Medina Ohio traditions is the annual Ice Festival in our historic square!  Beautiful frozen night! https://t.co/3Ppoim0ejq,Medina Ohio,16,27,USA,0.9637409448623657,Ohio,41.18962,-81.7991,USA,9675147,Ohio State Highway Patrol - Medina Patrol Post,S,BLDG
18,2021-02-19 23:59:43+00:00,1362914793137475584,@MonkeyDMacc I don’t even know lmso it was on my recommendations so I just clicked it. But if there’s black ice on Palmdale I’ll be ready,Palmdale,115,123,USA,0.9571880102157593,California,34.57943,-118.11646,USA,5380698,Palmdale,P,PPL
19,2021-02-19 23:59:42+00:00,1362914792680263681,@GamesRavelin @JoeSilverman7 Texas has its own power grid. Did you know that?,Texas,29,34,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
20,2021-02-19 23:59:42+00:00,1362914792415977477,"LF: Shopee Farm friends WAHAHA

https://t.co/tkXBuhlvlD
https://t.co/9vcx0CUtTS
https://t.co/Q1BmDRlDgo

We'll water back 😉",Shopee Farm,4,15,USA,0.24821266531944275,,,,,,,,
21,2021-02-19 23:59:42+00:00,1362914790692302848,Freezing weather slows food shipments to and from Coast https://t.co/Vq4ZxoYHrS,Coast,50,55,MLT,0.28868943452835083,,,,,,,,
