,Datetime,Tweet Id,Text,Location
33,2021-02-19 23:59:42+00:00,1362914789094170627,"@Eagle1190591196 @GovAbbott Hi Eagle,

Why do you think Arkansas’ snow plows are connected to global warming?

Thanks, 
Mike","{'word': 'Arkansas', 'spans': [{'start': 56, 'end': 64}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Arkansas', 'lat': '34.75037', 'lon': '-92.50044', 'country_code3': 'USA', 'geonameid': '4099753', 'place_name': 'Arkansas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
35,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,"{'word': 'Florida', 'spans': [{'start': 13, 'end': 20}], 'country_predicted': 'CHL', 'country_conf': 0.8212683, 'geo': {'admin1': 'Valparaíso', 'lat': '-33.05429', 'lon': '-71.62239', 'country_code3': 'CHL', 'geonameid': '9034691', 'place_name': '8va. Comisaria Florida de Carabineros de Valparaiso', 'feature_class': 'S', 'feature_code': 'PP'}}"
36,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,"{'word': 'Pa.', 'spans': [{'start': 150, 'end': 153}], 'country_predicted': 'CMR', 'country_conf': 0.19553736}"
37,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,"{'word': 'Florida', 'spans': [{'start': 170, 'end': 177}], 'country_predicted': 'CHL', 'country_conf': 0.8212683, 'geo': {'admin1': 'Valparaíso', 'lat': '-33.05429', 'lon': '-71.62239', 'country_code3': 'CHL', 'geonameid': '9034691', 'place_name': '8va. Comisaria Florida de Carabineros de Valparaiso', 'feature_class': 'S', 'feature_code': 'PP'}}"
46,2021-02-19 23:59:36+00:00,1362914764909924352,"@ThatEricAlper David Bowie. He and Imam were stuck on the same snow-delayed flight as my party. We almost rented a car together, but we ended up taking Amtrak from Baltimore to NYC.","{'word': 'Baltimore', 'spans': [{'start': 164, 'end': 173}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Maryland', 'lat': '39.28808', 'lon': '-76.61076', 'country_code3': 'USA', 'geonameid': '6955120', 'place_name': 'Baltimore-Towson', 'feature_class': 'L', 'feature_code': 'RGNE'}}"
47,2021-02-19 23:59:36+00:00,1362914764909924352,"@ThatEricAlper David Bowie. He and Imam were stuck on the same snow-delayed flight as my party. We almost rented a car together, but we ended up taking Amtrak from Baltimore to NYC.","{'word': 'NYC', 'spans': [{'start': 177, 'end': 180}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'New York', 'lat': '40.75622', 'lon': '-73.94128', 'country_code3': 'USA', 'geonameid': '9854983', 'place_name': 'Howard Johnson Inn. Long Island City Nyc Area', 'feature_class': 'S', 'feature_code': 'HTL'}}"
51,2021-02-19 23:59:33+00:00,1362914752616427526,"@oahnait @WSJ And you know where they lived &amp; I currently live! In Wisconsin where the weather can be -45 below F. Advice from where? What country are you in? I’ve been through MANY polar vortex, several feet of snow winters my whole life. I’ve driven to work. I’ve walked to school.","{'word': 'Wisconsin', 'spans': [{'start': 71, 'end': 80}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Wisconsin', 'lat': '44.50024', 'lon': '-90.00041', 'country_code3': 'USA', 'geonameid': '5279468', 'place_name': 'Wisconsin', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
58,2021-02-19 23:59:29+00:00,1362914737328173056,"@ScottTheWoz Looks at snow, laughs in new york","{'word': 'new york', 'spans': [{'start': 38, 'end': 46}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'New York', 'lat': '43.00035', 'lon': '-75.4999', 'country_code3': 'USA', 'geonameid': '5128638', 'place_name': 'New York', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
66,2021-02-19 23:59:23+00:00,1362914709322792970,Snowflake 2022...he’s got the snow balls  to stand up for Texas https://t.co/MrFKdcYQ4T,"{'word': 'Texas', 'spans': [{'start': 58, 'end': 63}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
86,2021-02-19 23:59:13+00:00,1362914668138950658,"so the rabbit hutch in the yard is currently buried under several feet of snow, so the rabbit is right now inside with us. he's figured out that thumping is foot on the ground makes us pick him up, so that's now basically all he does all day","{'word': 'us', 'spans': [{'start': 182, 'end': 184}], 'country_predicted': 'FRA', 'country_conf': 0.28868943}"
95,2021-02-19 23:59:06+00:00,1362914641328959489,"I am old enough to remember when the US Postal Service said we deliver rain, sleet, or snow. I am in Texas and haven’t seen them in 3 days!","{'word': 'Texas', 'spans': [{'start': 101, 'end': 106}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
96,2021-02-19 23:59:06+00:00,1362914640242626563,I don’t remember snow hitting Texas under trump this is because of Biden,"{'word': 'Texas', 'spans': [{'start': 30, 'end': 35}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
99,2021-02-19 23:59:04+00:00,1362914629257682948,"The cold paints Kylo's cheeks a vivid red as if in protest of the weather, which make the few freckles that Kylo does have, stand out brilliantly. The light reflects off the snow into Kylo's chocolate gaze, that mimic the color of his hair, and Hux is lost.","{'word': 'Kylo', 'spans': [{'start': 184, 'end': 188}], 'country_predicted': 'FIN', 'country_conf': 0.5339668}"
100,2021-02-19 23:59:03+00:00,1362914626934079490,"Thinking about soft winter Kylux.... Hux noticing how dark the snow flakes make Kylo's hair look. The strands look black in juxtaposition to the white flakes that are landing on Kylo's head, but Hux knows it's a deep chocolate brown, not black.","{'word': 'Kylo', 'spans': [{'start': 178, 'end': 182}], 'country_predicted': 'FIN', 'country_conf': 0.5339668}"
102,2021-02-19 23:59:03+00:00,1362914625415761920,"when i move out if ny it's not because of the expenses, the state itself or the people, it's because of the goddamn snow (and winter in itself)! can it stop?! i hate snow as it but why tf is it snowing so much? like fuck off! you're ugly and annoying!","{'word': 'ny', 'spans': [{'start': 19, 'end': 21}], 'country_predicted': 'SWE', 'country_conf': 0.28365934}"
109,2021-02-19 23:59:00+00:00,1362914613994618884,"MDOT crews work to clear Hwy 4 in Marshall County. 

Aided by today’s sunshine, snow-fighting crews were able to make progress on clearing #MShwys, but refreezing will occur tonight. 

We will get the job done — #WeDontTakeSnowDays. https://t.co/NURVpXCRcO","{'word': 'Marshall', 'spans': [{'start': 34, 'end': 42}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'West Virginia', 'lat': '39.86061', 'lon': '-80.66339', 'country_code3': 'USA', 'geonameid': '4813820', 'place_name': 'Marshall County', 'feature_class': 'A', 'feature_code': 'ADM2'}}"
114,2021-02-19 23:58:56+00:00,1362914597842415619,"#Elissa is enjoying in the snow with her dog, under the slogan “O Dunia Jinan, Jinan … Pictures.”🎵🎼🎶 https://t.co/IlXTCevBnN 
@elissakh ❄☃️🌀🧊","{'word': 'Dunia Jinan', 'spans': [{'start': 66, 'end': 77}], 'country_predicted': 'IDN', 'country_conf': 0.24821267}"
117,2021-02-19 23:58:55+00:00,1362914592758902786,"@MRKokoski @ravenashaw @Squish43172398 @therecount @allahpundit @tedcruz Only God can work miracles now maybe Cruz can do something that Hid need him to do before he took that vacation trip which is fine but Cruz already know that he was going rain, snow are hell freeze over he was going and he really did not care what the people of Texas said.","{'word': 'Texas', 'spans': [{'start': 335, 'end': 340}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
124,2021-02-19 23:58:50+00:00,1362914573406195714,Texas finally gets some snow and now everyone in the gym like it’s New Years again,"{'word': 'Texas', 'spans': [{'start': 0, 'end': 5}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
136,2021-02-19 23:58:42+00:00,1362914537092091904,"As a former resident of incline village, the lack of real snow in Tahoe is astonishing https://t.co/s8Wv0RQIaF","{'word': 'Tahoe', 'spans': [{'start': 66, 'end': 71}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'California', 'lat': '39.15023', 'lon': '-120.1612', 'country_code3': 'USA', 'geonameid': '7262635', 'place_name': 'Sunnyside-Tahoe City', 'feature_class': 'P', 'feature_code': 'PPL'}}"
139,2021-02-19 23:58:41+00:00,1362914534802018306,"After a looooong week of fighting off the snow and dealing with power outages I’m so ready to get back to playing some music. I’ll be in Granbury, TX at @ozcoffeebar this Saturday 2/20 from 6-9. 🌈 @ Oz Coffee Bar https://t.co/D1Pfqak5Zy","{'word': 'Granbury', 'spans': [{'start': 137, 'end': 145}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Texas', 'lat': '32.44208', 'lon': '-97.7942', 'country_code3': 'USA', 'geonameid': '4694459', 'place_name': 'Granbury', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
